Manufacturer,Type,Cylinders,Model_Year,Model_Price,Sold_Year,Sale_Price,KM_Driven,KPL,Power,Class,Location,Accident_History,Owner_History,Color,Seller_Type,Service_History
Wolksvagon,suv,8,2002,"93,139 SAR",2007,"50,127 SAR",38920,5220.0mpl,2WD,standard,Jeddah,10,2,Gray,individual,0
Fourd,sedan,4,2005,,2012,"39,338 SAR",229102,7260.0mpl,4WD,STANDARD,Dhahran,4,-3,Color Black,individual,1
Honta,suv,4,1997,"70,299 SAR",2003,"31,555 SAR",280245,14.39,2WD,standard,Makkah,8,2,Black,individual,0
Shevy,sedan,4,1996,"64,326 SAR",2001,"27,169 SAR",111392,10.77,2WD,standard,Riyadh,6,4,Color Blue,individual,0
Fourd,sedan,4,2005,"92,251 SAR",2008,"57,841 SAR",22488,9.56,4WD,standard,Madinah,2,-2,Color Black,company,0
Toyoda,suv,4,2002,,2010,"36,438 SAR",152447,8.14,4WD,standard,Jeddah,5,-5,Silver,individual,1
Fourd,sedan,6,1990,"57,120 SAR",1994,"33,616 SAR",95879,9.09,2WD,standard,Dhahran,1,-2,Red,individual,1
Huendae,suv,4,2001,,2006,"35,522 SAR",188555,13.98,2WD,STANDARD,Jeddah,6,2,Gray,individual,0
Mercetes,sedan,4,2006,"131,734 SAR",2010,"77,528 SAR",42596,10.14,4WD,premium,Riyadh,3,1,White,individual,1
Shevy,suv,4,2006,"164,668 SAR",2009,"87,811 SAR",151914,6.19,2WD,premium,Madinah,5,1,Silver,individual,1
Masda,sedan,8,1998,"47,803 SAR",2001,"29,814 SAR",28564,11.18,2WD,standard,Riyadh,9,1,Gray,individual,0
Honta,suv,8,2000,,2003,"58,789 SAR",100125,8.84,2WD,premium,Makkah,7,4,Gray,individual,0
Shevy,suv,4,1996,"115,787 SAR",2000,"61,329 SAR",85740,4.65,4WD,STANDARD,Dhahran,8,-3,Gray,individual,1
Toyoda,sedan,4,2006,"67,211 SAR",2007,"68,017 SAR",7760,16780.0mpl,2WD,standard,Dhahran,3,1,Black,individual,0
Shevy,crossover,4,1996,"77,191 SAR",2000,"38,938 SAR",80210,9.76,2WD,standard,Jeddah,11,3,Black,company,0
Geep,sedan,6,1998,"66,925 SAR",2002,"37,511 SAR",78545,5.77,2WD,standard,Riyadh,3,-5,Gray,individual,0
Toyoda,suv,4,2008,,2010,"126,482 SAR",80614,7.21,4WD,PREMIUM,Jeddah,11,2,Red,individual,0
Huendae,sedan,6,1997,,2001,"28,743 SAR",47208,15.62,2WD,STANDARD,Jeddah,7,-3,Blue,company,0
Geep,sedan,4,2003,,2007,"37,273 SAR",202286,6.26,2WD,standard,Dammam,2,2,Silver,individual,0
Shevy,sedan,8,1994,"74,194 SAR",1998,"37,427 SAR",40805,4.31,4WD,standard,Dammam,6,3,Gray Color,individual,0
JournalMotors,suv,4,1995,"94,597 SAR",2001,"40,440 SAR",70407,7.14,2WD,standard,Madinah,7,3,Red,individual,0
Huendae,sedan,8,2005,"54,911 SAR",2012,"27,242 SAR",134418,11.59,2WD,standard,Madinah,6,2,Gray Color,company,1
Honta,suv,4,2007,"85,694 SAR",2012,"48,637 SAR",86574,16309.999999999998mpl,2WD,standard,Madinah,10,1,White,company,1
Fourd,suv,4,2004,"113,052 SAR",2006,"74,089 SAR",41969,4.82,2WD,standard,Dhahran,11,3,Black,individual,1
JournalMotors,suv,6,2005,,2009,"55,261 SAR",131424,2.24,2WD,standard,Riyadh,10,2,Blue,individual,0
Toyoda,suv,4,2003,"95,002 SAR",2011,"30,973 SAR",82590,8.24,2WD,standard,Riyadh,5,1,Silver,individual,1
Toyoda,sedan,8,2004,"77,522 SAR",2008,"44,971 SAR",134781,9.53,4WD,standard,Dhahran,4,3,Gray,individual,0
Toyoda,sedan,6,1993,"62,348 SAR",2001,"19,359 SAR",142875,7870.0mpl,4WD,standard,Jeddah,5,2,Gray Color,company,0
Wolksvagon,suv,4,2003,"95,002 SAR",2006,"64,895 SAR",49191,5.79,2WD,standard,Riyadh,7,-3,Gray,individual,0
Nesshan,suv,4,2003,,2006,"82,746 SAR",143823,11.02,4WD,premium,Jeddah,9,-5,White,individual,1
Geep,sedan,4,2002,"72,441 SAR",2006,"34,715 SAR",196624,6.26,2WD,standard,Dhahran,4,3,Gray,individual,0
Toyoda,sedan,4,2000,"59,681 SAR",2001,"57,651 SAR",11100,13.69,2WD,standard,Dammam,3,3,White,individual,1
JournalMotors,suv,4,2008,,2010,"76,187 SAR",78825,6.74,2WD,standard,Makkah,7,1,White,company,1
Masda,sedan,4,2005,,2011,"35,960 SAR",144923,17.21,4WD,STANDARD,Madinah,6,3,Blue,individual,1
Fourd,suv,6,1994,"111,291 SAR",1998,"56,140 SAR",43877,3990.0mpl,4WD,standard,Madinah,4,-2,Silver Color,individual,0
Honta,suv,6,2001,"76,094 SAR",2007,"35,954 SAR",58653,11.25,2WD,standard,Madinah,4,-2,Blue,individual,0
Fourd,suv,4,1999,"102,395 SAR",2004,"47,801 SAR",51419,8.28,2WD,standard,Madinah,10,2,Silver,company,1
Honta,sedan,4,1998,"66,925 SAR",2004,"34,784 SAR",112581,22720.0mpl,2WD,premium,Jeddah,6,2,Red Color,individual,0
Masda,suv,4,2005,,2008,"71,740 SAR",107754,11.69,2WD,premium,Madinah,5,2,Color Black,company,1
Fourd,suv,4,2004,,2011,"55,096 SAR",288671,3.94,4WD,standard,Dammam,4,3,Silver Color,company,0
Masda,suv,4,1997,,2001,"60,970 SAR",70280,6.84,2WD,PREMIUM,Jeddah,3,3,White Color,company,0
JournalMotors,crossover,4,2003,,2006,"58,374 SAR",57522,4810.0mpl,2WD,STANDARD,Dhahran,3,-2,Gray Color,individual,1
Shevy,crossover,8,2001,"119,316 SAR",2009,"30,604 SAR",191522,2.62,2WD,PREMIUM,Madinah,11,2,White Color,individual,0
JournalMotors,sedan,6,1998,"80,310 SAR",2001,"50,228 SAR",115797,7.19,4WD,standard,Jeddah,2,-5,Gray,individual,1
Shevy,sedan,4,2005,"76,875 SAR",2008,"45,549 SAR",19017,8.39,2WD,standard,Madinah,14,2,Blue,individual,1
Toyoda,suv,4,1999,"122,874 SAR",2003,"75,033 SAR",48064,9.32,2WD,premium,Jeddah,7,-3,Black,company,0
Huendae,suv,8,1992,"76,406 SAR",1995,"55,596 SAR",50147,10.78,4WD,standard,Jeddah,2,3,White,individual,1
Wolksvagon,crossover,8,1992,"85,575 SAR",1998,"49,082 SAR",266553,6.5,2WD,PREMIUM,Jeddah,2,2,Silver Color,individual,1
Fourd,crossover,4,2002,,2005,"49,054 SAR",27535,6.88,2WD,STANDARD,Dammam,7,-5,White,individual,0
Huendae,suv,4,1998,"71,705 SAR",1999,"54,073 SAR",40360,14240.0mpl,2WD,STANDARD,Makkah,5,3,White Color,individual,1
Shevy,sedan,4,2003,"73,890 SAR",2007,"37,273 SAR",87502,10.14,2WD,standard,Dhahran,4,-5,Silver Color,individual,0
Huendae,suv,4,2002,"93,139 SAR",2006,"57,281 SAR",161417,16.43,4WD,standard,Madinah,3,4,Color Black,individual,0
Toyoda,suv,4,1995,"97,300 SAR",1999,"62,387 SAR",26563,8.03,4WD,standard,Jeddah,6,2,Color Blue,individual,1
Shevy,sedan,6,2002,"72,441 SAR",2010,"18,581 SAR",161995,9230.0mpl,2WD,standard,Madinah,9,-3,White,individual,0
Toyoda,suv,4,2004,,2008,"94,440 SAR",163879,8.28,4WD,PREMIUM,Dhahran,6,-3,Brown,company,0
Fourd,crossover,4,1997,"78,735 SAR",2003,"33,659 SAR",129438,6.06,2WD,standard,Dhahran,9,3,White,company,0
Masda,crossover,4,2008,"69,926 SAR",2014,"34,692 SAR",48624,10.27,2WD,standard,Dammam,6,2,Silver Color,individual,1
JournalMotors,crossover,4,2002,"86,930 SAR",2009,"35,304 SAR",97087,8.12,2WD,standard,Makkah,5,4,Blue,company,0
Honta,suv,6,1994,"66,244 SAR",2001,"31,300 SAR",150910,11360.0mpl,2WD,standard,Dammam,4,2,Brown,company,0
Shevy,suv,4,1992,"124,798 SAR",2001,"33,611 SAR",179712,8.84,2WD,PREMIUM,Dhahran,7,2,White Color,individual,1
Masda,suv,4,1996,,2001,"33,867 SAR",108997,6140.0mpl,2WD,standard,Makkah,12,2,Gray,individual,0
Fourd,suv,4,2009,"124,819 SAR",2011,"77,905 SAR",41560,4410.0mpl,2WD,standard,Riyadh,4,2,Color Black,individual,0
Fourd,suv,4,1999,"122,874 SAR",2006,"55,446 SAR",317016,4740.0mpl,4WD,standard,Jeddah,2,2,Red Color,company,0
Toyoda,sedan,4,2001,"60,875 SAR",2005,"35,314 SAR",122478,15000.0mpl,2WD,STANDARD,Makkah,11,2,Color Blue,company,0
Toyoda,sedan,4,1996,"66,164 SAR",2003,"37,663 SAR",129757,15.68,4WD,standard,Dhahran,5,-2,White,individual,0
Fourd,crossover,6,2001,"85,225 SAR",2005,"45,141 SAR",39670,3590.0mpl,2WD,STANDARD,Riyadh,7,1,White,individual,1
Fourd,crossover,8,2000,"83,554 SAR",2004,"40,041 SAR",155905,4.55,2WD,standard,Dammam,10,-5,Silver,individual,0
Honta,sedan,4,2008,"58,272 SAR",2013,"31,498 SAR",101660,19680.0mpl,2WD,STANDARD,Dammam,12,3,Gray,individual,0
Fourd,suv,4,1999,"102,395 SAR",2007,"27,577 SAR",140788,4.77,2WD,standard,Madinah,5,2,Gray,company,1
Huendae,sedan,6,2005,"92,251 SAR",2007,"66,503 SAR",39263,15.52,4WD,PREMIUM,Makkah,10,4,Black,individual,0
Fourd,suv,4,1996,"135,085 SAR",1997,"87,778 SAR",21551,6.29,2WD,premium,Riyadh,6,4,Blue,individual,0
JournalMotors,crossover,4,2000,"100,265 SAR",2005,"46,806 SAR",50762,5.25,4WD,standard,Dhahran,7,1,Red,individual,1
Honta,sedan,4,1998,"57,364 SAR",2000,"43,529 SAR",12080,17.65,4WD,standard,Madinah,6,1,Black,individual,0
Fourd,sedan,4,2000,"83,554 SAR",2005,"37,148 SAR",36414,12.26,4WD,standard,Madinah,12,2,Red,individual,0
JournalMotors,crossover,4,2008,,2015,"44,176 SAR",332697,8.59,2WD,standard,Dammam,3,2,Color Black,individual,0
Nesshan,crossover,6,1997,"78,735 SAR",2003,"37,202 SAR",137528,11.32,2WD,premium,Jeddah,9,-3,Color Blue,company,0
Nesshan,sedan,4,2006,,2011,"33,639 SAR",33252,21.47,2WD,standard,Makkah,2,2,White,company,0
Honta,suv,4,1996,"68,921 SAR",2001,"32,174 SAR",210504,11810.0mpl,2WD,standard,Riyadh,8,3,Brown,individual,0
JournalMotors,sedan,8,2004,"90,442 SAR",2011,"38,663 SAR",124841,5.92,4WD,standard,Riyadh,6,2,White Color,individual,0
Shevy,suv,4,2007,"119,972 SAR",2013,"51,159 SAR",112826,6800.0mpl,2WD,standard,Riyadh,11,4,White,individual,1
Nesshan,sedan,4,2007,"57,129 SAR",2009,"48,168 SAR",21238,25.6,2WD,standard,Dammam,1,-2,Red Color,individual,0
Toyoda,sedan,4,1999,,2000,"53,439 SAR",42214,23.9,2WD,STANDARD,Dammam,3,4,Color Black,individual,0
Huendae,suv,4,2000,"74,602 SAR",2005,"36,567 SAR",212041,8.67,2WD,standard,Jeddah,6,3,White,company,1
Huendae,suv,4,2006,"117,620 SAR",2006,"84,030 SAR",721,12050.0mpl,2WD,premium,Jeddah,12,3,Gray,individual,1
Huendae,crossover,6,1996,"55,136 SAR",1998,"42,261 SAR",16365,10.93,2WD,standard,Dhahran,3,2,Red,individual,0
Honta,sedan,4,2007,,2012,"34,225 SAR",226002,18.42,2WD,STANDARD,Makkah,1,1,Red,individual,1
Nesshan,sedan,4,2002,,2003,"51,636 SAR",11703,23.58,4WD,standard,Makkah,4,1,Gray,individual,0
Mercetes,sedan,4,1998,,1999,"45,662 SAR",21199,11.42,2WD,standard,Dammam,6,-5,Silver Color,individual,1
Shevy,sedan,4,1991,"58,262 SAR",1995,"29,316 SAR",160101,5650.0mpl,2WD,standard,Jeddah,5,2,Brown,individual,1
Fourd,crossover,4,2004,"90,442 SAR",2008,"45,623 SAR",78181,6.02,2WD,standard,Jeddah,6,2,Black,company,0
JournalMotors,sedan,4,2004,"75,368 SAR",2009,"35,184 SAR",106046,6.96,2WD,standard,Madinah,4,2,Black,individual,1
Shevy,sedan,4,1995,"75,678 SAR",2001,"32,352 SAR",308068,7.83,4WD,STANDARD,Madinah,2,1,White,individual,0
Toyoda,suv,4,2002,,2009,"64,105 SAR",281623,10.22,2WD,premium,Riyadh,7,1,Red,individual,0
Masda,crossover,4,2003,"63,334 SAR",2005,"48,545 SAR",27263,11.67,2WD,standard,Dammam,3,1,Red,individual,0
JournalMotors,crossover,4,1996,"77,191 SAR",2000,"43,157 SAR",167672,6.16,2WD,standard,Dhahran,0,1,Color Black,individual,1
Honta,sedan,4,2007,"68,555 SAR",2011,"39,942 SAR",179182,16.13,4WD,STANDARD,Jeddah,5,1,White,individual,0
Toyoda,sedan,4,2007,,2011,"61,399 SAR",68049,19150.0mpl,4WD,STANDARD,Riyadh,2,2,Gray,individual,0
Wolksvagon,suv,4,2002,"93,139 SAR",2004,"66,852 SAR",72288,9.74,2WD,standard,Jeddah,5,2,White Color,company,0
Nesshan,suv,4,2002,"77,616 SAR",2007,"38,140 SAR",109726,13.97,2WD,standard,Jeddah,9,3,Color Black,individual,0
Fourd,sedan,4,2006,,2010,"47,348 SAR",185581,7.92,4WD,standard,Dammam,7,-2,Silver Color,company,1
Fourd,sedan,8,2000,"97,480 SAR",2006,"43,756 SAR",67941,3790.0mpl,2WD,premium,Riyadh,7,-5,Color Blue,individual,1
Nesshan,sedan,4,1996,,2001,"26,078 SAR",98790,22220.0mpl,2WD,standard,Makkah,6,3,Red,company,1
BeEmW,sedan,6,2004,"90,442 SAR",2008,"50,692 SAR",82704,3.94,4WD,standard,Riyadh,1,-2,Gray Color,company,0
JournalMotors,suv,4,1994,,1998,"49,382 SAR",173265,6.16,2WD,STANDARD,Dammam,2,1,Black,individual,0
Fourd,sedan,8,2002,"72,441 SAR",2007,"32,207 SAR",36431,3.69,2WD,standard,Riyadh,6,2,Gray Color,individual,0
Masda,sedan,4,2000,"83,554 SAR",2002,"66,926 SAR",80395,17.21,4WD,premium,Dammam,3,3,Red,company,0
Honta,suv,4,1993,,2002,"23,628 SAR",197590,15.56,2WD,standard,Makkah,2,1,Black,individual,1
Huendae,sedan,8,2004,"64,601 SAR",2005,"48,838 SAR",21235,11330.0mpl,4WD,standard,Riyadh,6,1,Black,company,0
Masda,suv,6,1996,,1997,"72,763 SAR",43518,10.79,2WD,PREMIUM,Jeddah,11,-2,Gray,individual,1
Nesshan,crossover,4,1998,,2001,"69,791 SAR",112453,17.55,4WD,PREMIUM,Dhahran,1,3,Brown,individual,0
Honta,sedan,4,2002,,2008,"26,893 SAR",50527,20590.0mpl,2WD,standard,Riyadh,4,2,Red,individual,0
Shevy,sedan,6,2002,"72,441 SAR",2009,"32,689 SAR",293518,7.13,2WD,standard,Makkah,2,1,Color Blue,company,0
Huendae,suv,4,1995,"67,569 SAR",1998,"44,039 SAR",137715,16.04,2WD,STANDARD,Dhahran,7,2,Black,individual,0
Huendae,suv,4,1997,"98,419 SAR",1999,"71,289 SAR",37819,13.83,2WD,PREMIUM,Jeddah,9,2,Gray Color,company,1
JournalMotors,sedan,6,2008,,2008,"63,278 SAR",876,6.62,4WD,STANDARD,Makkah,8,1,White,individual,1
Honta,sedan,4,1999,"48,759 SAR",2006,"29,566 SAR",146043,20.96,2WD,STANDARD,Makkah,3,2,Gray,individual,1
Huendae,suv,4,2000,,2005,"43,991 SAR",46535,13.16,4WD,standard,Riyadh,12,2,White,individual,0
Geep,sedan,4,2000,"69,628 SAR",2003,"39,291 SAR",25040,6.78,2WD,standard,Dammam,5,2,Gray,individual,0
Nesshan,crossover,4,2006,,2012,"33,186 SAR",295692,18240.0mpl,2WD,STANDARD,Dammam,8,1,Gray,individual,0
Toyoda,sedan,4,1997,"56,239 SAR",2001,"39,665 SAR",87647,17.82,2WD,STANDARD,Makkah,8,1,Gray,individual,1
BeEmW,suv,4,2005,,2011,"62,113 SAR",46955,6.38,4WD,standard,Dammam,5,1,Color Black,individual,1
Huendae,sedan,4,1992,"42,448 SAR",1996,"27,479 SAR",187301,22.98,2WD,STANDARD,Dhahran,2,3,White Color,company,0
Huendae,sedan,6,2008,,2012,"29,240 SAR",211123,11.26,2WD,standard,Dammam,10,2,White Color,individual,0
Huendae,suv,6,2006,"84,014 SAR",2009,"52,399 SAR",57296,7.78,2WD,STANDARD,Dhahran,7,-2,Color Black,individual,0
Shevy,sedan,8,1999,,2005,"35,019 SAR",77900,3860.0mpl,4WD,standard,Dammam,8,-5,Gray Color,individual,0
Shevy,suv,4,2007,"143,967 SAR",2009,"94,349 SAR",44333,4.44,4WD,standard,Dammam,4,2,Blue,individual,1
Huendae,crossover,4,1995,,1999,"33,152 SAR",49835,19970.0mpl,2WD,STANDARD,Makkah,6,2,Red,individual,0
Shevy,suv,4,1997,"118,103 SAR",2000,"66,645 SAR",51120,7.28,4WD,standard,Makkah,4,3,Silver Color,individual,0
Shevy,suv,4,2000,,2005,"48,757 SAR",46531,5.24,2WD,standard,Makkah,7,2,Color Black,individual,1
Wolksvagon,crossover,4,1992,"85,575 SAR",1995,"58,310 SAR",145014,10850.0mpl,2WD,PREMIUM,Dhahran,8,-3,Silver Color,individual,1
Honta,suv,8,2003,"95,002 SAR",2009,"49,751 SAR",225346,10.02,4WD,standard,Madinah,2,3,Silver,individual,1
Fourd,suv,4,2007,"119,972 SAR",2011,"63,882 SAR",191542,5.55,2WD,standard,Dhahran,2,3,Gray,individual,0
Toyoda,sedan,4,2001,"60,875 SAR",2006,"38,041 SAR",182517,21.47,2WD,standard,Jeddah,3,-3,Black,individual,0
Masda,suv,4,2002,"77,616 SAR",2009,"38,507 SAR",76311,13.36,2WD,standard,Dhahran,5,-2,Silver Color,individual,1
JournalMotors,suv,4,2003,"155,170 SAR",2004,"100,829 SAR",33558,9.42,2WD,premium,Dhahran,9,2,White,individual,0
Huendae,suv,4,1999,"87,767 SAR",2003,"54,371 SAR",96708,13550.0mpl,4WD,standard,Makkah,2,-2,White,company,0
Fourd,crossover,4,2002,,2008,"43,356 SAR",62956,5860.0mpl,2WD,STANDARD,Dhahran,3,1,Silver Color,individual,1
JournalMotors,crossover,6,2007,,2009,"59,904 SAR",25156,5.51,2WD,standard,Dhahran,4,2,Black,individual,0
Huendae,sedan,4,2005,"92,251 SAR",2009,"53,749 SAR",161603,26.0,4WD,premium,Dammam,4,1,Gray Color,individual,0
Shevy,suv,6,1991,"87,393 SAR",1997,"35,492 SAR",253089,2.84,2WD,STANDARD,Makkah,12,3,White Color,individual,0
Huendae,sedan,4,2006,,2012,"29,110 SAR",53371,28770.0mpl,2WD,standard,Dhahran,12,1,Silver,company,0
Masda,suv,4,1998,"86,046 SAR",1999,"68,303 SAR",18697,7800.0mpl,4WD,standard,Dammam,4,-2,Gray,individual,1
JournalMotors,suv,8,1996,"115,787 SAR",2000,"55,488 SAR",84742,3940.0mpl,4WD,STANDARD,Jeddah,4,4,Blue,individual,0
JournalMotors,suv,6,2004,,2005,"81,193 SAR",18985,3.71,2WD,standard,Jeddah,10,-3,Gray,individual,1
Toyoda,crossover,4,2007,"98,720 SAR",2014,"50,959 SAR",332982,11.19,4WD,STANDARD,Dammam,9,-5,White Color,company,1
Shevy,sedan,4,2007,"79,981 SAR",2013,"34,191 SAR",64976,7.41,2WD,standard,Makkah,12,1,White Color,individual,0
Shevy,crossover,4,1996,,2001,"48,047 SAR",89418,5.09,2WD,PREMIUM,Jeddah,11,1,Color Blue,company,0
Honta,sedan,4,2004,"53,834 SAR",2007,"38,985 SAR",111873,18.26,2WD,standard,Madinah,1,1,Silver Color,individual,0
BeEmW,suv,4,2003,"110,836 SAR",2012,"27,007 SAR",418474,5.04,2WD,standard,Jeddah,8,-3,White Color,individual,0
Masda,sedan,4,2003,,2007,"27,955 SAR",166812,13.3,2WD,standard,Riyadh,11,3,Red,individual,0
Toyoda,suv,4,2000,"89,522 SAR",2003,"64,210 SAR",38893,10100.0mpl,2WD,standard,Riyadh,10,2,Brown,individual,1
JournalMotors,sedan,4,2007,"111,974 SAR",2011,"56,485 SAR",29456,9.66,2WD,premium,Riyadh,10,3,Black,individual,0
Masda,sedan,4,2000,"49,734 SAR",2001,"37,598 SAR",18115,13740.0mpl,2WD,standard,Jeddah,6,3,Gray Color,individual,0
Huendae,crossover,6,2003,"76,001 SAR",2007,"49,436 SAR",76684,8960.0mpl,4WD,STANDARD,Makkah,3,1,White Color,individual,1
Toyoda,sedan,8,2005,"65,893 SAR",2007,"52,551 SAR",77267,8.63,2WD,standard,Dammam,2,-3,Silver,individual,0
JournalMotors,sedan,6,1996,"64,326 SAR",2001,"31,777 SAR",99954,6.52,2WD,standard,Dammam,1,3,White,company,0
JournalMotors,sedan,4,2004,"75,368 SAR",2006,"49,392 SAR",21658,5.59,2WD,STANDARD,Riyadh,12,1,Silver,individual,1
Honta,suv,8,1998,"71,705 SAR",2003,"39,150 SAR",45311,8.68,2WD,standard,Dhahran,2,1,Gray Color,company,0
Wolksvagon,suv,4,2002,"111,767 SAR",2007,"60,002 SAR",170467,7340.0mpl,4WD,standard,Makkah,4,1,Color Blue,individual,1
Shevy,suv,6,2007,"119,972 SAR",2012,"53,206 SAR",223160,3.37,2WD,standard,Makkah,9,3,Silver,company,1
Shevy,crossover,4,1998,"96,372 SAR",2001,"57,403 SAR",18504,5.3,4WD,standard,Riyadh,0,4,White,individual,0
Toyoda,suv,6,1997,,2001,"51,513 SAR",28952,7.37,2WD,standard,Madinah,6,-3,Color Black,individual,0
Honta,crossover,6,2005,,2010,"45,332 SAR",90051,9.84,2WD,premium,Dhahran,9,3,Gray,individual,0
Fourd,sedan,6,2007,,2011,"50,836 SAR",79821,9660.0mpl,4WD,standard,Dammam,9,2,Silver Color,individual,1
BeEmW,crossover,4,2002,,2010,"24,775 SAR",99362,5430.0mpl,2WD,standard,Madinah,3,2,Red Color,company,0
Fourd,crossover,4,2003,"124,136 SAR",2006,"73,552 SAR",68888,6460.0mpl,2WD,premium,Dammam,10,2,Gray,individual,1
Toyoda,sedan,4,2005,"79,072 SAR",2010,"42,556 SAR",85334,13.73,4WD,standard,Makkah,4,2,Brown,individual,0
Masda,sedan,8,2000,"49,734 SAR",2007,"26,110 SAR",73737,8.92,2WD,standard,Riyadh,3,1,Black,individual,0
Mercetes,sedan,4,2004,,2008,"34,312 SAR",177392,6.07,2WD,standard,Dammam,6,4,Gray Color,company,0
Shevy,crossover,6,2008,"97,897 SAR",2015,"39,758 SAR",303807,5370.0mpl,2WD,STANDARD,Madinah,10,-5,Silver,individual,0
Huendae,suv,4,1998,"71,705 SAR",2000,"57,132 SAR",41128,18.96,2WD,standard,Dhahran,4,2,Gray Color,individual,1
Toyoda,sedan,4,2007,"68,555 SAR",2011,"41,863 SAR",36945,12.15,2WD,STANDARD,Riyadh,7,-2,Red,individual,0
Fourd,suv,4,2004,"113,052 SAR",2011,"50,746 SAR",163286,5.54,2WD,STANDARD,Riyadh,10,2,White,individual,1
Masda,crossover,4,1998,"80,310 SAR",2002,"44,776 SAR",28878,14.69,2WD,premium,Madinah,12,2,White,individual,0
Fourd,sedan,4,2001,"71,021 SAR",2006,"35,084 SAR",38790,3.97,2WD,standard,Riyadh,1,1,Silver,individual,0
Honta,sedan,8,1990,"48,960 SAR",1994,"30,330 SAR",77419,8.25,4WD,standard,Dhahran,2,1,White Color,individual,0
Toyoda,sedan,6,2004,"64,601 SAR",2010,"31,759 SAR",243433,13.98,2WD,standard,Jeddah,6,-5,Color Blue,individual,0
Honta,sedan,6,2005,"76,875 SAR",2006,"54,921 SAR",51580,10.76,2WD,premium,Riyadh,12,2,Color Black,individual,1
JournalMotors,suv,4,2001,"106,532 SAR",2005,"53,740 SAR",43191,6290.0mpl,2WD,standard,Riyadh,11,1,Silver,individual,0
Toyoda,sedan,4,1996,"55,136 SAR",2002,"34,786 SAR",216565,17470.0mpl,2WD,STANDARD,Dhahran,2,1,Color Blue,individual,1
Toyoda,sedan,4,1999,"58,511 SAR",2005,"33,559 SAR",245915,13860.0mpl,2WD,standard,Jeddah,2,-5,Gray,individual,1
Shevy,sedan,6,1997,"65,612 SAR",2002,"34,032 SAR",107468,5.15,2WD,STANDARD,Dammam,2,3,Gray,individual,1
BeEmW,suv,8,2004,,2006,"80,440 SAR",91001,2300.0mpl,4WD,STANDARD,Dammam,7,2,Red,company,0
Toyoda,suv,6,2006,,2011,"65,111 SAR",105721,9.8,4WD,STANDARD,Madinah,13,-5,Black,individual,0
Wolksvagon,sedan,4,1999,"58,511 SAR",2007,"17,259 SAR",149421,13100.0mpl,2WD,STANDARD,Jeddah,6,-2,Blue,company,0
Shevy,suv,6,2006,"117,620 SAR",2010,"62,300 SAR",42021,6.89,2WD,standard,Riyadh,8,1,Silver,individual,1
