Manufacturer,Type,Cylinders,Model_Year,Model_Price,Sold_Year,Sale_Price,KM_Driven,KPL,Power,Class,Location,Accident_History,Owner_History,Color,Seller_Type,Service_History
Toyoda,sedan,6,2005,"79,072 SAR",2007,"76,669 SAR",19772,16.31,4WD,standard,Dhahran,3,1,Red,individual,1
JournalMotors,crossover,4,2004,"90,442 SAR",2005,"72,172 SAR",10089,4.75,2WD,standard,Dhahran,3,1,Silver,company,1
Huendae,suv,4,2004,"80,752 SAR",2011,"40,275 SAR",294500,13.44,2WD,standard,Makkah,3,2,Gray,individual,0
Huendae,sedan,4,1996,"45,947 SAR",2004,"14,328 SAR",180597,23.19,2WD,standard,Dammam,6,3,Gray,individual,0
Mercetes,suv,4,2003,"110,836 SAR",2008,"46,813 SAR",226971,7.45,2WD,standard,Dhahran,9,2,Red,individual,0
Shevy,sedan,4,1991,"58,262 SAR",1995,"29,390 SAR",81586,9.98,2WD,standard,Makkah,5,1,Red,individual,0
Huendae,crossover,4,1999,"58,511 SAR",2001,"44,400 SAR",22224,18.3,2WD,standard,Dhahran,4,1,White,individual,0
Huendae,sedan,4,2003,"52,779 SAR",2011,"16,459 SAR",80665,21.1,2WD,standard,Madinah,4,3,Gray,individual,0
JournalMotors,suv,8,2003,"110,836 SAR",2008,"52,015 SAR",218626,3.59,2WD,standard,Riyadh,3,3,Gray,individual,0
JournalMotors,sedan,8,2007,"79,981 SAR",2009,"49,920 SAR",27660,2.74,2WD,standard,Dammam,4,2,Gray,company,0
Nesshan,suv,4,2006,"117,620 SAR",2006,"79,828 SAR",1071,13.1,2WD,premium,Riyadh,8,4,Blue,individual,1
Huendae,crossover,4,2004,"108,530 SAR",2008,"59,905 SAR",216275,18.12,4WD,premium,Riyadh,6,3,Silver,individual,0
Huendae,sedan,4,2004,"53,834 SAR",2012,"15,948 SAR",265538,27.54,2WD,standard,Dhahran,4,2,Silver,individual,0
Masda,suv,6,1999,"87,767 SAR",2004,"47,920 SAR",96568,9.22,4WD,standard,Riyadh,3,2,Blue,individual,0
Geep,suv,6,1993,"90,924 SAR",1996,"48,742 SAR",108925,2.37,2WD,standard,Dammam,6,3,Black,individual,0
Fourd,sedan,6,1997,"65,612 SAR",2005,"18,699 SAR",144310,2.85,2WD,standard,Makkah,1,2,Gray,individual,0
JournalMotors,sedan,4,2001,"99,430 SAR",2003,"65,506 SAR",89358,5.25,2WD,premium,Dhahran,2,1,Black,individual,0
Fourd,sedan,4,2001,"71,021 SAR",2008,"31,879 SAR",95157,9.52,2WD,standard,Makkah,7,2,Red,individual,1
Wolksvagon,sedan,4,2004,"64,601 SAR",2012,"19,055 SAR",294754,9.23,2WD,standard,Jeddah,13,1,Brown,individual,0
Mercetes,sedan,4,2004,"75,368 SAR",2007,"47,255 SAR",35540,5.65,2WD,standard,Madinah,2,3,Silver,company,0
Fourd,crossover,4,2000,"116,976 SAR",2000,"72,010 SAR",1121,10.6,2WD,premium,Makkah,13,2,White,company,0
Toyoda,crossover,4,1999,"70,214 SAR",2003,"42,876 SAR",92623,13.48,2WD,standard,Dhahran,5,2,Silver,company,0
Huendae,crossover,4,1994,"52,995 SAR",2000,"30,604 SAR",58912,16.33,2WD,standard,Jeddah,3,2,Black,individual,0
Huendae,sedan,8,2006,"56,009 SAR",2006,"40,013 SAR",1214,14.67,2WD,standard,Jeddah,4,2,White,individual,1
Honta,sedan,6,2007,"68,555 SAR",2012,"37,056 SAR",57436,20.84,4WD,standard,Makkah,9,3,Black,individual,0
Toyoda,sedan,8,2005,"65,893 SAR",2013,"21,596 SAR",321730,7.2,2WD,standard,Madinah,3,1,Black,individual,0
Nesshan,sedan,4,1998,"47,803 SAR",2003,"25,839 SAR",86450,17.57,2WD,standard,Jeddah,5,2,Red,individual,0
Toyoda,sedan,6,1998,"57,364 SAR",2003,"30,873 SAR",103654,10.73,2WD,standard,Makkah,6,2,Silver,individual,0
Toyoda,crossover,6,1998,"68,837 SAR",1999,"56,997 SAR",9153,12.92,2WD,standard,Jeddah,14,2,Black,company,0
Masda,sedan,8,2007,"57,129 SAR",2012,"29,476 SAR",100641,10.88,2WD,standard,Dhahran,9,1,Black,individual,1
BeEmW,sedan,6,2005,"76,875 SAR",2010,"34,178 SAR",111755,7.61,2WD,standard,Makkah,8,2,Red,company,0
Toyoda,crossover,4,2002,"74,511 SAR",2003,"71,257 SAR",21655,16.04,2WD,standard,Riyadh,9,2,Red,company,1
Fourd,suv,6,1998,"100,387 SAR",2003,"49,467 SAR",166787,2.75,2WD,standard,Makkah,2,1,Silver,individual,1
Shevy,suv,4,2005,"115,313 SAR",2008,"61,817 SAR",114595,5.03,2WD,standard,Riyadh,9,2,Black,individual,0
BeEmW,suv,4,1998,"100,387 SAR",2000,"65,789 SAR",41292,5.49,2WD,standard,Madinah,8,3,Black,individual,1
Mercetes,crossover,4,1998,"80,310 SAR",2005,"32,615 SAR",297504,7.05,2WD,standard,Jeddah,5,1,Red,individual,0
Honta,crossover,4,2002,"62,093 SAR",2006,"40,197 SAR",37455,18.19,2WD,standard,Madinah,3,4,White,individual,0
Geep,suv,4,1996,"96,489 SAR",2000,"48,673 SAR",73605,6.79,2WD,standard,Dammam,9,3,Red,individual,0
Toyoda,suv,6,2004,"116,283 SAR",2006,"87,857 SAR",46851,10.4,4WD,standard,Dammam,8,1,White,individual,0
JournalMotors,suv,6,1996,"162,102 SAR",2004,"41,579 SAR",193995,4.38,4WD,premium,Makkah,4,2,Red,individual,0
Shevy,suv,8,1994,"111,291 SAR",1999,"51,953 SAR",99372,1.49,4WD,standard,Madinah,6,1,Gray,company,1
Honta,suv,4,2002,"77,616 SAR",2006,"41,111 SAR",181061,12.66,2WD,standard,Madinah,8,1,White,company,0
Toyoda,sedan,4,1999,"58,511 SAR",2006,"28,765 SAR",284833,11.73,2WD,standard,Madinah,4,3,White,individual,0
Honta,sedan,4,2006,"67,211 SAR",2010,"43,510 SAR",146181,20.42,4WD,standard,Madinah,2,3,Red,individual,0
Fourd,sedan,6,2005,"92,251 SAR",2013,"27,606 SAR",168871,6.74,4WD,standard,Riyadh,3,1,Red,individual,1
Honta,sedan,4,2003,"52,779 SAR",2006,"34,399 SAR",118915,27.46,2WD,standard,Makkah,4,3,Black,individual,0
Nesshan,suv,6,2005,"98,840 SAR",2012,"46,701 SAR",90627,10.55,4WD,standard,Makkah,5,2,Silver,individual,0
Huendae,suv,6,2000,"74,602 SAR",2005,"36,659 SAR",64912,9.13,2WD,standard,Makkah,7,1,Red,individual,0
Honta,suv,4,2008,"87,408 SAR",2011,"54,516 SAR",64375,12.74,2WD,standard,Madinah,5,1,Gray,individual,0
JournalMotors,crossover,4,1999,"98,299 SAR",2002,"58,551 SAR",104601,4.7,4WD,standard,Dammam,2,2,White,company,0
Huendae,sedan,4,2008,"69,926 SAR",2013,"39,687 SAR",91132,23.3,4WD,standard,Dhahran,9,2,Blue,individual,1
JournalMotors,crossover,4,2006,"131,734 SAR",2010,"66,453 SAR",42042,6.7,2WD,premium,Makkah,7,2,Gray,individual,0
Toyoda,sedan,8,2004,"64,601 SAR",2007,"44,128 SAR",22203,11.63,2WD,standard,Makkah,6,1,Blue,individual,0
Toyoda,sedan,4,1999,"58,511 SAR",2005,"31,642 SAR",71515,20.54,2WD,standard,Jeddah,9,4,Black,individual,0
Masda,suv,4,2002,"77,616 SAR",2003,"58,531 SAR",46620,10.59,2WD,standard,Dammam,8,1,Black,individual,1
JournalMotors,sedan,4,2008,"81,581 SAR",2011,"51,023 SAR",117237,9.25,2WD,standard,Dhahran,1,1,Red,individual,1
Honta,sedan,4,2003,"52,779 SAR",2005,"38,048 SAR",82716,20.48,2WD,standard,Dhahran,9,1,Black,individual,0
Toyoda,crossover,8,2005,"79,072 SAR",2008,"53,879 SAR",112869,11.49,2WD,standard,Riyadh,4,2,Black,individual,1
BeEmW,sedan,4,2008,"97,897 SAR",2015,"41,746 SAR",75978,8.03,4WD,standard,Jeddah,5,4,Gray,individual,1
JournalMotors,sedan,6,2002,"72,441 SAR",2006,"34,715 SAR",175501,6.48,2WD,standard,Makkah,8,1,Black,individual,0
Shevy,crossover,4,2002,"121,702 SAR",2007,"54,108 SAR",47782,5.05,2WD,premium,Jeddah,10,2,Black,individual,0
Nesshan,crossover,4,2005,"79,072 SAR",2009,"46,070 SAR",168965,22.76,4WD,standard,Madinah,11,1,Gray,individual,0
Toyoda,sedan,4,1997,"56,239 SAR",1998,"56,771 SAR",49802,21.6,2WD,standard,Dhahran,1,2,White,individual,1
Shevy,suv,8,1998,"140,542 SAR",2001,"75,342 SAR",146458,3.41,2WD,premium,Madinah,6,3,Gray,individual,0
BeEmW,sedan,4,2002,"72,441 SAR",2007,"35,696 SAR",205382,5.56,2WD,standard,Makkah,3,1,Blue,individual,1
Fourd,crossover,6,2001,"102,271 SAR",2006,"50,395 SAR",220710,8.51,4WD,standard,Jeddah,1,3,Gray,individual,1
Honta,suv,8,2001,"91,313 SAR",2008,"40,988 SAR",336924,9.64,4WD,standard,Jeddah,10,1,Black,individual,0
Toyoda,sedan,4,2008,"69,926 SAR",2010,"64,573 SAR",44754,17.76,2WD,standard,Dhahran,2,2,Brown,individual,0
Shevy,suv,4,2007,"167,961 SAR",2012,"70,941 SAR",249054,3.37,2WD,premium,Jeddah,4,3,Black,company,0
JournalMotors,sedan,4,2005,"92,251 SAR",2009,"44,209 SAR",146768,7.31,4WD,standard,Makkah,11,2,Gray,individual,0
Shevy,suv,6,1995,"132,436 SAR",2002,"62,907 SAR",134689,4.37,2WD,premium,Dammam,1,3,Blue,individual,0
Shevy,sedan,4,1997,"65,612 SAR",2000,"35,173 SAR",130769,7.27,2WD,standard,Dammam,7,1,Gray,individual,0
JournalMotors,suv,4,2002,"108,662 SAR",2004,"67,651 SAR",96789,5.62,2WD,standard,Riyadh,5,1,Blue,individual,1
Mercetes,sedan,4,2006,"78,413 SAR",2014,"20,112 SAR",76270,6.38,2WD,standard,Madinah,6,2,White,individual,0
Masda,sedan,4,2005,"76,875 SAR",2005,"52,305 SAR",836,14.05,2WD,premium,Riyadh,5,1,White,individual,0
Shevy,sedan,6,1999,"68,263 SAR",2002,"36,594 SAR",127369,3.94,2WD,standard,Makkah,10,3,Black,individual,0
Honta,crossover,8,2000,"59,681 SAR",2005,"32,585 SAR",112507,11.18,2WD,standard,Madinah,2,2,Gray,individual,0
Huendae,suv,4,2008,"104,890 SAR",2014,"52,313 SAR",232059,14.26,4WD,standard,Makkah,2,2,Blue,individual,0
Fourd,sedan,8,1999,"68,263 SAR",2007,"17,509 SAR",78841,5.1,2WD,standard,Madinah,7,2,Gray,individual,0
JournalMotors,suv,8,1994,"92,742 SAR",1997,"55,241 SAR",62237,2.41,2WD,standard,Jeddah,3,4,Blue,company,0
Huendae,sedan,8,1999,"48,759 SAR",2005,"24,075 SAR",204193,16.32,2WD,standard,Madinah,5,2,Blue,company,0
Masda,sedan,6,1997,"46,866 SAR",2003,"22,144 SAR",125591,9.62,2WD,standard,Riyadh,9,3,Black,individual,0
Toyoda,suv,4,1995,"81,083 SAR",2000,"43,638 SAR",40046,13.16,2WD,standard,Madinah,6,2,White,individual,0
Toyoda,crossover,4,2004,"130,236 SAR",2010,"78,629 SAR",65812,14.3,4WD,premium,Dammam,2,2,Silver,individual,1
JournalMotors,suv,4,1998,"100,387 SAR",2002,"48,108 SAR",72124,5.57,2WD,standard,Madinah,6,4,Blue,individual,0
Toyoda,sedan,6,2006,"80,653 SAR",2011,"45,360 SAR",218624,18.03,4WD,standard,Makkah,5,2,Gray,individual,0
JournalMotors,sedan,8,2000,"83,554 SAR",2006,"37,505 SAR",136594,2.7,4WD,standard,Dhahran,4,1,Gray,company,1
Shevy,suv,8,2003,"110,836 SAR",2007,"55,911 SAR",92258,2.49,2WD,standard,Dhahran,7,2,White,individual,0
JournalMotors,sedan,4,2006,"94,096 SAR",2012,"42,460 SAR",203204,5.34,4WD,standard,Riyadh,2,3,Gray,individual,0
Wolksvagon,crossover,4,2001,"87,660 SAR",2008,"47,632 SAR",135378,13.38,4WD,standard,Madinah,6,2,Red,individual,1
Honta,suv,8,1997,"70,299 SAR",2004,"33,133 SAR",277039,7.31,2WD,standard,Dhahran,10,3,Brown,individual,1
JournalMotors,suv,6,1996,"96,489 SAR",2001,"45,043 SAR",90700,3.24,2WD,standard,Makkah,6,2,White,individual,1
Nesshan,sedan,6,2005,"54,911 SAR",2008,"35,789 SAR",40791,18.9,2WD,standard,Dammam,9,4,Silver,individual,0
Honta,suv,6,2001,"106,532 SAR",2003,"77,165 SAR",38219,6.44,2WD,premium,Madinah,5,1,White,individual,1
Huendae,suv,8,2002,"77,616 SAR",2007,"42,378 SAR",81335,6.76,2WD,standard,Riyadh,3,3,White,company,0
Fourd,crossover,4,2008,"117,477 SAR",2013,"52,099 SAR",44785,10.01,4WD,standard,Madinah,4,4,Black,individual,1
Masda,crossover,4,1995,"54,055 SAR",1999,"28,631 SAR",163700,10.32,2WD,standard,Riyadh,10,1,White,individual,0
Fourd,sedan,4,2004,"105,516 SAR",2008,"53,227 SAR",46395,8.02,2WD,premium,Madinah,9,2,Gray,individual,0
Fourd,sedan,8,2004,"90,442 SAR",2007,"48,484 SAR",133231,2.95,4WD,standard,Dammam,7,1,Gray,individual,0
Toyoda,crossover,4,2003,"91,202 SAR",2008,"46,630 SAR",246660,13.11,4WD,standard,Riyadh,7,2,Silver,company,0
Nesshan,suv,6,2005,"82,367 SAR",2010,"42,498 SAR",82160,12.86,2WD,standard,Riyadh,6,1,Gray,individual,1
Nesshan,sedan,4,1996,"45,947 SAR",2002,"22,686 SAR",205329,19.65,2WD,standard,Madinah,5,1,White,individual,0
Honta,suv,4,1995,"67,569 SAR",1998,"49,166 SAR",25850,11.68,2WD,standard,Dammam,0,2,Black,individual,1
Shevy,suv,4,2005,"138,376 SAR",2010,"64,598 SAR",68439,4.68,4WD,standard,Madinah,13,2,Red,individual,1
JournalMotors,suv,4,2003,"110,836 SAR",2008,"57,490 SAR",31943,7.92,2WD,standard,Makkah,2,2,White,individual,1
JournalMotors,suv,4,2005,"115,313 SAR",2011,"46,831 SAR",255264,7.29,2WD,standard,Dammam,9,1,White,individual,0
Masda,sedan,4,2003,"52,779 SAR",2011,"16,625 SAR",194141,12.76,2WD,standard,Riyadh,2,2,Brown,individual,0
Nesshan,crossover,4,2001,"60,875 SAR",2004,"41,764 SAR",63942,15.59,2WD,standard,Makkah,5,3,Gray,company,0
Honta,suv,4,2006,"84,014 SAR",2012,"44,107 SAR",53485,13.2,2WD,standard,Riyadh,1,2,White,individual,0
Wolksvagon,sedan,8,2006,"80,653 SAR",2011,"43,407 SAR",96222,9.32,4WD,standard,Dammam,8,2,White,individual,0
JournalMotors,crossover,4,1997,"78,735 SAR",2001,"37,731 SAR",64713,7.01,2WD,standard,Dhahran,9,4,White,individual,0
Shevy,crossover,4,2001,"85,225 SAR",2007,"34,612 SAR",39919,4.83,2WD,standard,Dhahran,5,4,Black,individual,0
Toyoda,suv,4,2004,"96,902 SAR",2007,"69,503 SAR",63039,11.51,2WD,standard,Dhahran,7,1,Brown,individual,1
Nesshan,sedan,6,1998,"57,364 SAR",2004,"30,116 SAR",115760,13.45,4WD,standard,Riyadh,3,1,Black,individual,0
Fourd,suv,8,2005,"115,313 SAR",2009,"58,169 SAR",28676,4.1,2WD,standard,Dhahran,6,2,Gray,company,0
Shevy,suv,8,1998,"120,465 SAR",2005,"51,498 SAR",140470,2.39,4WD,standard,Riyadh,5,1,Brown,individual,0
Honta,suv,4,2000,"74,602 SAR",2008,"22,207 SAR",141945,9.8,2WD,standard,Riyadh,10,3,Black,individual,1
JournalMotors,suv,4,2006,"117,620 SAR",2012,"50,282 SAR",134954,5.79,2WD,standard,Madinah,9,3,Brown,company,0
Shevy,sedan,4,2007,"111,974 SAR",2013,"47,868 SAR",140687,7.7,2WD,premium,Makkah,8,1,Blue,individual,0
JournalMotors,suv,4,2003,"110,836 SAR",2007,"55,911 SAR",34368,4.47,2WD,standard,Dhahran,9,3,Silver,individual,0
Masda,crossover,8,1996,"55,136 SAR",1999,"36,107 SAR",21597,5.29,2WD,standard,Jeddah,5,3,Silver,individual,1
Masda,crossover,6,1994,"52,995 SAR",1999,"28,935 SAR",94891,12.48,2WD,standard,Riyadh,3,3,Black,individual,0
Masda,suv,4,1993,"64,945 SAR",1995,"52,269 SAR",39359,6.01,2WD,standard,Makkah,3,2,Red,company,1
JournalMotors,sedan,4,1996,"64,326 SAR",2003,"30,554 SAR",117714,6.63,2WD,standard,Jeddah,3,3,White,individual,0
Nesshan,suv,6,1992,"106,969 SAR",1993,"84,911 SAR",11477,12.03,4WD,premium,Jeddah,8,1,Red,individual,1
Honta,suv,4,2004,"113,052 SAR",2006,"77,988 SAR",17365,14.37,2WD,premium,Dhahran,4,2,Silver,individual,0
Toyoda,crossover,4,1991,"59,927 SAR",1999,"18,560 SAR",302362,13.01,2WD,standard,Makkah,6,3,Black,individual,1
Nesshan,suv,4,1999,"122,874 SAR",2005,"63,863 SAR",97562,17.12,4WD,premium,Riyadh,11,2,White,individual,0
Fourd,sedan,4,2009,"83,213 SAR",2015,"33,794 SAR",254517,6.74,2WD,standard,Dammam,12,1,Silver,individual,0
Nesshan,suv,4,2002,"108,662 SAR",2006,"66,642 SAR",73134,15.3,2WD,premium,Riyadh,7,2,Brown,individual,0
Honta,suv,4,2006,"117,620 SAR",2011,"57,379 SAR",240152,15.61,2WD,premium,Riyadh,7,4,Black,individual,0
Shevy,suv,4,1991,"87,393 SAR",1996,"38,854 SAR",100218,4.58,2WD,standard,Jeddah,4,2,Blue,individual,0
JournalMotors,sedan,6,2003,"73,890 SAR",2007,"41,415 SAR",84611,7.68,2WD,standard,Dhahran,3,2,Blue,individual,0
BeEmW,suv,4,2003,"110,836 SAR",2005,"72,637 SAR",42195,7.06,2WD,standard,Jeddah,10,1,Gray,individual,1
Nesshan,sedan,6,2003,"88,668 SAR",2008,"50,833 SAR",58964,14.82,4WD,premium,Dhahran,2,1,Blue,individual,1
Wolksvagon,sedan,6,1998,"80,310 SAR",2004,"41,560 SAR",49446,8.85,2WD,premium,Jeddah,6,1,White,company,0
Geep,suv,4,2006,"117,620 SAR",2010,"65,926 SAR",73585,6.85,2WD,standard,Dammam,2,1,Silver,company,0
Honta,sedan,4,1992,"42,448 SAR",1995,"29,122 SAR",22508,16.27,2WD,standard,Dammam,10,2,Blue,individual,0
Huendae,sedan,8,2001,"60,875 SAR",2005,"37,712 SAR",83550,13.49,4WD,standard,Riyadh,2,1,Black,individual,0
JournalMotors,crossover,4,2006,"112,915 SAR",2010,"63,288 SAR",69091,7.58,4WD,standard,Madinah,3,3,Blue,individual,0
Shevy,suv,8,2000,"175,464 SAR",2003,"99,014 SAR",63585,3.42,4WD,premium,Madinah,7,3,Gray,individual,0
Honta,suv,6,2003,"79,168 SAR",2007,"46,592 SAR",122958,9.7,2WD,standard,Makkah,2,3,Black,individual,0
JournalMotors,suv,6,2000,"125,332 SAR",2003,"78,583 SAR",66498,7.33,4WD,standard,Jeddah,1,3,Black,company,0
Honta,sedan,4,2002,"51,744 SAR",2005,"35,500 SAR",23248,17.28,2WD,standard,Makkah,8,2,White,individual,0
Toyoda,sedan,4,1998,"68,837 SAR",2002,"43,926 SAR",143671,21.79,4WD,standard,Riyadh,4,1,Black,company,0
JournalMotors,crossover,6,2003,"106,402 SAR",2008,"47,437 SAR",187963,4.9,4WD,standard,Dammam,3,4,Black,individual,0
Wolksvagon,suv,4,2005,"98,840 SAR",2011,"51,149 SAR",121038,8.24,2WD,standard,Dammam,4,1,Black,company,0
Fourd,suv,4,2007,"119,972 SAR",2012,"50,672 SAR",226567,8.35,2WD,standard,Dhahran,5,1,Red,individual,0
Nesshan,sedan,4,2002,"51,744 SAR",2005,"37,275 SAR",33937,26.63,2WD,standard,Jeddah,4,1,Gray,individual,1
JournalMotors,suv,4,2007,"167,961 SAR",2014,"64,802 SAR",250493,4.78,2WD,premium,Jeddah,4,4,Black,individual,0
Toyoda,crossover,4,2005,"94,886 SAR",2009,"67,277 SAR",135156,16.09,4WD,standard,Dhahran,3,2,Gray,individual,0
Fourd,suv,4,2005,"115,313 SAR",2010,"56,964 SAR",98874,3.67,2WD,standard,Riyadh,2,1,White,individual,0
Huendae,sedan,4,2000,"49,734 SAR",2005,"25,539 SAR",104322,27.17,2WD,standard,Jeddah,9,4,Red,individual,0
BeEmW,sedan,8,2001,"71,021 SAR",2006,"35,084 SAR",101999,3.42,2WD,standard,Madinah,3,3,Black,individual,0
Honta,sedan,6,1994,"44,163 SAR",1999,"25,065 SAR",108562,20.63,2WD,standard,Madinah,8,2,Blue,individual,1
Masda,suv,4,2000,"125,332 SAR",2006,"59,071 SAR",242366,10.22,4WD,premium,Riyadh,7,1,Gray,individual,1
Shevy,sedan,4,1992,"71,313 SAR",1994,"42,284 SAR",75944,4.28,4WD,standard,Dhahran,6,2,Red,individual,0
JournalMotors,sedan,6,2004,"75,368 SAR",2009,"33,508 SAR",104386,6.44,2WD,standard,Makkah,5,1,Blue,individual,0
JournalMotors,suv,4,2001,"106,532 SAR",2007,"45,542 SAR",62894,5.75,2WD,standard,Dammam,8,2,Black,individual,0
Nesshan,sedan,4,2004,"90,442 SAR",2012,"28,133 SAR",316818,22.99,4WD,premium,Riyadh,11,2,Silver,individual,1
Honta,sedan,4,1994,"44,163 SAR",1997,"30,298 SAR",37238,27.05,2WD,standard,Dhahran,8,1,Blue,individual,0
Shevy,sedan,4,2003,"73,890 SAR",2009,"33,342 SAR",254392,7.71,2WD,standard,Dammam,3,3,Black,individual,0
Toyoda,sedan,4,2004,"64,601 SAR",2012,"23,167 SAR",79027,15.82,2WD,standard,Jeddah,8,2,White,individual,1
Wolksvagon,suv,4,1992,"91,688 SAR",1998,"49,820 SAR",58667,8.37,4WD,standard,Madinah,5,3,Gray,individual,1
Masda,suv,4,2003,"79,168 SAR",2008,"38,903 SAR",49864,10.28,2WD,standard,Makkah,6,3,Gray,individual,0
Toyoda,sedan,4,1999,"58,511 SAR",2006,"31,793 SAR",71996,9.34,2WD,standard,Jeddah,9,2,White,individual,1
Wolksvagon,sedan,4,2007,"115,173 SAR",2014,"59,602 SAR",129051,13.34,4WD,premium,Riyadh,4,3,Black,company,0
JournalMotors,suv,8,2008,"122,372 SAR",2013,"54,406 SAR",103939,2.02,2WD,standard,Madinah,5,3,Gray,individual,0
Toyoda,sedan,4,2006,"67,211 SAR",2011,"34,278 SAR",234516,14.06,2WD,standard,Jeddah,7,4,Gray,individual,1
Nesshan,suv,8,1998,"120,465 SAR",2000,"92,336 SAR",16699,11.89,4WD,premium,Riyadh,1,3,Gray,company,0
Geep,suv,4,1997,"118,103 SAR",2001,"59,577 SAR",77515,4.02,4WD,standard,Riyadh,7,1,Gray,individual,0
