Manufacturer,Type,Cylinders,Model_Year,Model_Price,Sold_Year,Sale_Price,KM_Driven,KPL,Power,Class,Location,Accident_History,Owner_History,Color,Seller_Type,Service_History
Honta,sedan,4,2005,"54,911 SAR",2010,"32,979 SAR",46273,23.57,2WD,standard,Dammam,3,3,Silver,individual,0
JournalMotors,suv,4,2003,"155,170 SAR",2010,"69,651 SAR",111683,5.09,2WD,premium,Dhahran,4,2,Blue,individual,1
Shevy,suv,4,2003,"110,836 SAR",2010,"47,382 SAR",121388,7.65,2WD,standard,Dammam,10,2,Silver,individual,0
Shevy,crossover,6,2006,"112,915 SAR",2012,"45,857 SAR",123793,6.28,4WD,standard,Dhahran,4,4,White,individual,0
Toyoda,sedan,4,1996,"77,191 SAR",2000,"51,850 SAR",38112,17.6,2WD,premium,Dhahran,8,3,Red,individual,0
Toyoda,crossover,4,2001,"73,050 SAR",2006,"43,247 SAR",34382,17.34,2WD,standard,Riyadh,8,3,White,individual,0
Fourd,suv,4,1999,"143,353 SAR",2001,"85,000 SAR",75991,4.51,2WD,premium,Madinah,10,2,Black,individual,0
Huendae,crossover,8,2000,"100,265 SAR",2005,"51,733 SAR",46230,9.21,4WD,premium,Madinah,8,1,Gray,individual,1
Nesshan,sedan,4,2003,"52,779 SAR",2004,"43,891 SAR",20073,20.25,2WD,standard,Makkah,6,1,Black,individual,0
JournalMotors,crossover,8,1993,"87,287 SAR",1998,"40,963 SAR",234737,4.81,4WD,standard,Riyadh,3,3,White,individual,0
Honta,crossover,4,1996,"55,136 SAR",2000,"35,505 SAR",90037,16.8,2WD,standard,Madinah,9,1,Black,individual,1
Shevy,sedan,6,1992,"59,427 SAR",1999,"24,134 SAR",275805,9.9,2WD,standard,Makkah,9,2,White,individual,0
Nesshan,suv,4,2002,"93,139 SAR",2005,"58,090 SAR",60062,13.26,4WD,standard,Riyadh,4,2,White,company,0
Toyoda,sedan,4,2006,"67,211 SAR",2010,"42,889 SAR",173810,19.37,2WD,standard,Jeddah,7,1,Silver,individual,0
Toyoda,sedan,6,1999,"58,511 SAR",2008,"19,076 SAR",79535,7.74,2WD,standard,Makkah,5,3,Gray,company,1
JournalMotors,crossover,8,1997,"110,229 SAR",1998,"75,396 SAR",9295,3.84,2WD,premium,Riyadh,4,2,Silver,individual,0
Shevy,sedan,8,2004,"75,368 SAR",2010,"33,830 SAR",77496,4.31,2WD,standard,Dhahran,4,2,Black,individual,1
Huendae,suv,8,2004,"135,663 SAR",2007,"94,014 SAR",60070,10.23,4WD,premium,Jeddah,3,3,Silver,individual,0
Wolksvagon,suv,4,2001,"109,576 SAR",2008,"56,705 SAR",144175,9.03,4WD,standard,Dammam,4,2,Black,individual,0
Mercetes,crossover,8,1995,"127,139 SAR",2000,"65,946 SAR",94169,3.57,4WD,premium,Makkah,3,1,Silver,individual,1
Honta,sedan,8,1997,"46,866 SAR",2002,"23,029 SAR",100966,8.7,2WD,standard,Madinah,4,2,Red,individual,0
Toyoda,suv,6,2007,"102,833 SAR",2011,"62,794 SAR",63396,9.56,2WD,standard,Jeddah,10,2,Black,individual,0
Fourd,suv,4,2007,"167,961 SAR",2012,"82,972 SAR",107381,3.65,2WD,premium,Riyadh,2,3,Black,individual,0
BeEmW,sedan,4,2002,"86,930 SAR",2006,"43,851 SAR",77608,11.95,4WD,standard,Dammam,7,2,Gray,individual,0
Shevy,crossover,4,1993,"87,287 SAR",1994,"59,704 SAR",12637,8.91,4WD,standard,Riyadh,4,3,Black,individual,0
Toyoda,sedan,4,2003,"88,668 SAR",2004,"77,495 SAR",44038,14.24,2WD,premium,Dhahran,1,2,Black,company,0
Nesshan,suv,8,2007,"119,972 SAR",2013,"53,852 SAR",240713,6.98,2WD,premium,Dhahran,5,3,Brown,company,0
Shevy,crossover,4,2003,"106,402 SAR",2005,"62,932 SAR",86203,4.66,4WD,standard,Makkah,12,4,Gray,individual,1
Toyoda,suv,4,2002,"111,767 SAR",2003,"87,915 SAR",40978,7.06,4WD,standard,Jeddah,12,2,Gray,individual,0
Wolksvagon,sedan,6,1997,"56,239 SAR",2001,"44,072 SAR",88977,16.91,2WD,standard,Riyadh,0,2,White,individual,1
Huendae,suv,4,2005,"98,840 SAR",2012,"46,701 SAR",58181,13.49,4WD,standard,Madinah,10,2,Red,individual,0
Fourd,crossover,4,2002,"121,702 SAR",2006,"71,624 SAR",76874,9.92,2WD,premium,Makkah,3,3,Gray,individual,1
Toyoda,sedan,8,2002,"62,093 SAR",2006,"36,021 SAR",177448,8.6,2WD,standard,Makkah,4,3,Gray,individual,0
JournalMotors,sedan,6,2006,"78,413 SAR",2007,"59,444 SAR",44170,5.61,2WD,standard,Makkah,2,2,Black,individual,1
Honta,sedan,8,1996,"45,947 SAR",1999,"30,090 SAR",39468,9.02,2WD,standard,Makkah,8,2,Gray,individual,1
Shevy,crossover,4,1996,"129,682 SAR",1996,"79,832 SAR",935,6.86,4WD,premium,Dammam,8,3,White,individual,0
Shevy,suv,8,2006,"117,620 SAR",2009,"63,054 SAR",102265,3.49,2WD,standard,Jeddah,7,2,Silver,individual,0
Huendae,sedan,6,2001,"71,021 SAR",2006,"34,899 SAR",102126,12.63,2WD,premium,Makkah,4,1,Gray,individual,0
JournalMotors,sedan,4,2003,"73,890 SAR",2007,"35,410 SAR",175301,8.71,2WD,standard,Jeddah,12,1,Red,individual,0
Shevy,suv,4,2003,"133,003 SAR",2004,"90,746 SAR",37322,5.22,4WD,standard,Dhahran,4,2,Blue,individual,1
BeEmW,suv,6,1994,"92,742 SAR",1997,"54,951 SAR",51968,6.26,2WD,standard,Makkah,4,3,White,individual,1
Huendae,crossover,4,1997,"56,239 SAR",2000,"35,076 SAR",31997,12.15,2WD,standard,Makkah,4,2,Black,individual,0
Shevy,sedan,4,2002,"72,441 SAR",2006,"34,533 SAR",204812,8.27,2WD,standard,Dhahran,5,1,White,individual,1
Honta,suv,6,1999,"73,139 SAR",2006,"34,471 SAR",84865,11.42,2WD,standard,Riyadh,13,4,Red,individual,1
Shevy,sedan,4,2006,"78,413 SAR",2013,"35,197 SAR",82548,11.97,2WD,standard,Makkah,8,2,Black,individual,1
Toyoda,sedan,4,2005,"65,893 SAR",2008,"50,012 SAR",59546,12.63,2WD,standard,Riyadh,3,1,White,individual,0
Masda,crossover,4,2005,"92,251 SAR",2007,"63,480 SAR",74661,12.58,2WD,premium,Riyadh,4,2,White,company,1
Toyoda,suv,4,2006,"100,817 SAR",2013,"54,781 SAR",45382,12.14,2WD,standard,Makkah,5,3,Black,individual,1
Fourd,sedan,6,1997,"78,735 SAR",2000,"39,987 SAR",156768,5.87,4WD,standard,Riyadh,7,1,White,individual,0
Huendae,sedan,4,2001,"50,729 SAR",2004,"33,397 SAR",60625,14.05,2WD,standard,Dammam,3,4,White,individual,0
Honta,crossover,4,2004,"77,522 SAR",2007,"45,932 SAR",60763,13.66,4WD,standard,Makkah,8,4,Red,individual,0
Toyoda,suv,6,2001,"91,313 SAR",2005,"58,548 SAR",83072,7.92,2WD,standard,Dammam,4,2,Silver,company,1
Toyoda,suv,4,1993,"109,109 SAR",1996,"78,673 SAR",133708,13.75,2WD,premium,Madinah,2,3,Blue,individual,0
JournalMotors,crossover,8,2004,"90,442 SAR",2004,"58,459 SAR",1233,4.21,2WD,standard,Dammam,10,3,Gray,individual,1
Honta,sedan,8,2001,"50,729 SAR",2008,"25,048 SAR",329619,15.07,2WD,standard,Makkah,9,3,White,individual,0
Shevy,suv,6,2003,"155,170 SAR",2007,"73,970 SAR",210900,3.45,2WD,premium,Riyadh,9,1,White,individual,1
Huendae,crossover,4,2000,"71,618 SAR",2009,"24,815 SAR",190942,17.16,4WD,standard,Dhahran,1,2,Gray,individual,0
Huendae,suv,4,2001,"127,838 SAR",2007,"63,423 SAR",54146,11.98,4WD,premium,Dhahran,6,2,Silver,individual,1
BeEmW,suv,4,1997,"98,419 SAR",1999,"61,428 SAR",40826,4.62,2WD,standard,Makkah,7,1,Black,individual,0
Shevy,suv,4,2000,"146,220 SAR",2002,"91,263 SAR",43711,4.49,2WD,premium,Riyadh,9,1,Red,individual,0
Toyoda,crossover,6,2004,"93,026 SAR",2009,"49,941 SAR",109707,10.53,4WD,standard,Makkah,7,4,White,company,1
Wolksvagon,suv,4,1997,"118,103 SAR",2000,"84,709 SAR",30150,9.03,2WD,premium,Riyadh,8,3,Red,individual,1
Fourd,sedan,8,2003,"103,447 SAR",2008,"48,547 SAR",186627,3.89,2WD,premium,Makkah,0,2,Red,individual,0
Toyoda,suv,4,2004,"116,283 SAR",2007,"79,432 SAR",31001,10.35,4WD,standard,Jeddah,13,2,White,individual,0
Toyoda,suv,4,2008,"104,890 SAR",2010,"79,051 SAR",25172,10.77,2WD,standard,Jeddah,12,4,Black,company,1
JournalMotors,suv,8,1995,"132,436 SAR",2001,"59,447 SAR",38404,3.47,2WD,premium,Madinah,9,1,Black,individual,1
Fourd,sedan,6,2004,"75,368 SAR",2011,"30,608 SAR",51334,6.65,2WD,standard,Dammam,9,4,Silver,individual,0
Nesshan,sedan,4,1994,"52,995 SAR",2001,"27,544 SAR",71512,16.28,4WD,standard,Madinah,10,2,Blue,individual,0
Shevy,suv,8,2006,"117,620 SAR",2014,"33,521 SAR",55248,4.42,2WD,standard,Madinah,2,1,Blue,individual,0
Masda,crossover,8,2004,"64,601 SAR",2011,"32,219 SAR",250036,7.34,2WD,standard,Dhahran,2,3,Gray,company,0
Masda,crossover,4,1999,"58,511 SAR",2004,"31,947 SAR",116546,13.13,2WD,standard,Riyadh,0,2,Silver,individual,0
Shevy,crossover,8,1999,"81,916 SAR",2005,"36,964 SAR",186656,4.99,2WD,standard,Jeddah,1,2,Gray,individual,0
Fourd,sedan,8,2008,"81,581 SAR",2016,"20,925 SAR",139255,5.96,2WD,standard,Makkah,14,2,Silver,individual,0
Honta,suv,6,2000,"74,602 SAR",2002,"46,446 SAR",73190,9.05,2WD,standard,Jeddah,4,4,Silver,individual,0
Toyoda,suv,6,1995,"136,220 SAR",1997,"102,921 SAR",15655,9.79,4WD,premium,Riyadh,6,2,Gray,individual,0
JournalMotors,crossover,6,1995,"75,678 SAR",1999,"38,080 SAR",182745,5.8,2WD,standard,Makkah,8,2,Silver,company,1
Shevy,crossover,4,2003,"88,668 SAR",2007,"42,492 SAR",156411,7.53,2WD,standard,Dhahran,8,3,White,individual,0
Fourd,suv,4,2005,"115,313 SAR",2009,"61,078 SAR",87484,5.16,2WD,standard,Jeddah,6,2,Black,individual,1
Honta,sedan,4,2001,"50,729 SAR",2006,"27,421 SAR",68265,26.94,2WD,standard,Dhahran,5,3,Gray,individual,0
BeEmW,suv,4,1995,"94,597 SAR",2000,"46,730 SAR",90651,5.29,2WD,standard,Madinah,3,2,Blue,individual,0
Honta,sedan,4,1998,"47,803 SAR",2005,"23,603 SAR",290406,17.75,2WD,standard,Dhahran,7,2,White,individual,0
Toyoda,sedan,4,2003,"76,001 SAR",2010,"39,330 SAR",132282,11.48,4WD,standard,Riyadh,10,2,Red,individual,0
JournalMotors,sedan,6,2004,"75,368 SAR",2006,"49,392 SAR",34828,4.3,2WD,standard,Dammam,4,2,Silver,individual,1
Toyoda,suv,8,2002,"93,139 SAR",2010,"32,132 SAR",92196,6.04,2WD,standard,Riyadh,3,3,White,individual,0
Honta,suv,6,2003,"95,002 SAR",2007,"52,968 SAR",79632,9.97,4WD,standard,Riyadh,7,3,Black,individual,0
Honta,suv,6,1998,"100,387 SAR",2000,"69,251 SAR",38930,14.84,2WD,premium,Riyadh,4,3,Gray,individual,0
Fourd,suv,4,2003,"133,003 SAR",2006,"74,865 SAR",115766,2.67,4WD,standard,Dhahran,8,2,Blue,individual,1
JournalMotors,crossover,4,1994,"74,194 SAR",2001,"31,717 SAR",159968,7.88,2WD,standard,Jeddah,5,2,Black,individual,0
JournalMotors,crossover,8,2002,"86,930 SAR",2005,"51,507 SAR",37568,1.66,2WD,standard,Jeddah,9,2,Gray,individual,1
Shevy,crossover,4,2002,"86,930 SAR",2005,"54,505 SAR",56605,5.46,2WD,standard,Madinah,3,3,Black,individual,0
JournalMotors,crossover,4,2000,"83,554 SAR",2005,"41,275 SAR",107100,5.61,2WD,standard,Dhahran,3,2,Gray,individual,0
Fourd,suv,4,1996,"135,085 SAR",2000,"67,973 SAR",162045,4.76,2WD,premium,Riyadh,4,3,Silver,individual,1
Wolksvagon,crossover,8,2005,"132,841 SAR",2013,"41,247 SAR",83542,5.0,4WD,premium,Makkah,7,1,Blue,individual,0
Shevy,suv,4,2001,"127,838 SAR",2003,"75,611 SAR",73307,4.48,4WD,standard,Riyadh,11,4,Blue,company,1
Toyoda,crossover,4,2003,"76,001 SAR",2007,"54,145 SAR",67339,11.41,2WD,standard,Makkah,3,3,Gray,company,1
Honta,sedan,6,1995,"54,055 SAR",2001,"28,024 SAR",213912,18.99,4WD,standard,Riyadh,5,2,Silver,individual,1
Huendae,sedan,8,2008,"81,581 SAR",2014,"38,547 SAR",107412,7.8,2WD,premium,Makkah,9,1,Black,individual,0
Honta,sedan,8,2002,"51,744 SAR",2007,"26,698 SAR",46267,9.41,2WD,standard,Jeddah,9,3,Gray,individual,1
Geep,crossover,4,2002,"86,930 SAR",2007,"38,649 SAR",98616,3.57,2WD,standard,Makkah,11,2,Black,individual,0
JournalMotors,sedan,6,2006,"94,096 SAR",2009,"53,098 SAR",29626,6.25,4WD,standard,Dhahran,11,3,White,company,0
JournalMotors,suv,4,2009,"124,819 SAR",2010,"85,376 SAR",8218,3.92,2WD,standard,Madinah,4,1,Red,individual,0
Shevy,suv,8,2008,"122,372 SAR",2015,"52,314 SAR",147004,3.58,2WD,standard,Jeddah,5,3,Silver,individual,0
JournalMotors,sedan,4,2004,"105,516 SAR",2010,"45,108 SAR",99714,5.9,2WD,premium,Jeddah,6,3,Gray,individual,0
Huendae,suv,6,2007,"102,833 SAR",2010,"64,136 SAR",57388,8.98,4WD,standard,Dammam,5,3,Gray,individual,0
Wolksvagon,sedan,4,1993,"51,956 SAR",1999,"32,862 SAR",142595,16.22,2WD,standard,Dhahran,0,2,Gray,company,0
Fourd,sedan,4,2007,"111,974 SAR",2008,"85,100 SAR",20457,11.35,2WD,premium,Dhahran,3,2,Gray,individual,0
Toyoda,suv,8,2007,"123,400 SAR",2009,"93,234 SAR",24634,4.89,4WD,standard,Dammam,9,2,White,individual,0
Shevy,sedan,6,2002,"101,418 SAR",2006,"53,718 SAR",79969,6.91,2WD,premium,Riyadh,4,3,Silver,individual,1
Fourd,suv,8,2003,"110,836 SAR",2010,"47,382 SAR",143021,3.86,2WD,standard,Makkah,4,2,Black,company,0
Fourd,suv,8,2000,"104,443 SAR",2005,"49,015 SAR",213459,1.61,2WD,standard,Madinah,3,3,White,individual,0
Toyoda,sedan,8,2003,"88,668 SAR",2008,"55,674 SAR",31178,6.86,2WD,premium,Jeddah,2,2,White,individual,1
Masda,sedan,4,2004,"53,834 SAR",2011,"26,581 SAR",327823,21.21,2WD,standard,Dammam,4,1,Black,individual,0
Toyoda,crossover,4,2002,"74,511 SAR",2004,"61,926 SAR",23439,18.85,2WD,standard,Dammam,7,1,White,company,0
Geep,sedan,4,2006,"78,413 SAR",2009,"42,036 SAR",132284,6.38,2WD,standard,Jeddah,4,3,Silver,individual,0
Toyoda,sedan,6,2007,"68,555 SAR",2014,"35,388 SAR",282820,10.85,2WD,standard,Jeddah,10,2,Silver,individual,1
Toyoda,sedan,4,2006,"80,653 SAR",2011,"41,237 SAR",182311,14.02,4WD,standard,Jeddah,8,1,Blue,individual,0
Huendae,sedan,4,2007,"57,129 SAR",2010,"37,234 SAR",31602,25.97,2WD,standard,Riyadh,5,4,Gray,individual,0
Honta,sedan,8,2004,"64,601 SAR",2008,"42,021 SAR",47967,13.29,4WD,standard,Dammam,1,2,White,individual,1
JournalMotors,suv,4,2002,"152,128 SAR",2006,"80,578 SAR",27615,2.96,2WD,premium,Dammam,10,2,White,individual,1
JournalMotors,suv,4,1997,"98,419 SAR",2002,"48,618 SAR",109164,3.08,2WD,standard,Jeddah,2,2,Red,company,0
JournalMotors,suv,4,1999,"122,874 SAR",1999,"84,045 SAR",1007,6.15,4WD,standard,Madinah,3,1,Blue,individual,0
Masda,crossover,8,2006,"67,211 SAR",2009,"41,919 SAR",41611,9.72,2WD,standard,Makkah,10,1,Silver,individual,0
Nesshan,sedan,4,1995,"45,046 SAR",1999,"27,626 SAR",90558,27.42,2WD,standard,Dammam,4,1,Blue,company,0
Toyoda,suv,8,2001,"109,576 SAR",2004,"83,168 SAR",23422,8.55,4WD,standard,Jeddah,2,3,Red,individual,0
JournalMotors,sedan,4,1995,"75,678 SAR",2003,"19,411 SAR",100234,10.83,4WD,standard,Madinah,4,2,Brown,individual,0
JournalMotors,sedan,4,2008,"114,213 SAR",2009,"78,121 SAR",22218,9.55,2WD,premium,Riyadh,5,3,Silver,company,0
Honta,sedan,6,2006,"56,009 SAR",2012,"27,655 SAR",83043,20.19,2WD,standard,Riyadh,5,4,Red,individual,0
Wolksvagon,crossover,4,2005,"79,072 SAR",2010,"47,285 SAR",44816,14.86,2WD,standard,Dhahran,3,2,White,individual,0
Shevy,crossover,4,1999,"114,682 SAR",2004,"50,987 SAR",96632,10.14,2WD,premium,Madinah,6,3,Gray,individual,0
Honta,sedan,6,1999,"81,916 SAR",2002,"51,091 SAR",68812,9.99,4WD,premium,Dammam,5,1,Gray,company,0
Honta,crossover,4,2005,"79,072 SAR",2010,"42,741 SAR",37856,18.91,4WD,standard,Madinah,6,1,Silver,individual,0
Shevy,suv,4,2002,"130,395 SAR",2009,"55,743 SAR",55105,4.27,4WD,standard,Jeddah,5,2,White,company,0
Huendae,sedan,4,2003,"73,890 SAR",2008,"39,940 SAR",68210,19.5,2WD,premium,Dammam,8,1,Black,company,0
Huendae,crossover,6,2000,"59,681 SAR",2002,"41,170 SAR",38291,12.97,2WD,standard,Dhahran,12,1,Gray,individual,0
Masda,suv,4,2002,"77,616 SAR",2006,"45,438 SAR",20926,8.76,2WD,standard,Dammam,8,2,White,individual,1
Shevy,sedan,4,2005,"76,875 SAR",2007,"47,981 SAR",24930,10.64,2WD,standard,Dhahran,5,1,Black,individual,0
Shevy,suv,4,2009,"124,819 SAR",2014,"52,719 SAR",180753,6.08,2WD,standard,Jeddah,11,1,Gray,individual,0
Fourd,sedan,4,2003,"73,890 SAR",2007,"39,344 SAR",40450,7.66,2WD,standard,Madinah,1,4,Silver,individual,0
Fourd,sedan,4,2004,"90,442 SAR",2012,"21,983 SAR",384249,5.79,4WD,standard,Dammam,8,4,Silver,company,1
Wolksvagon,crossover,4,2007,"82,266 SAR",2012,"49,195 SAR",54444,10.39,2WD,standard,Madinah,3,3,Black,individual,0
Nesshan,sedan,8,2003,"52,779 SAR",2007,"30,898 SAR",35288,13.75,2WD,standard,Riyadh,6,3,White,individual,1
Shevy,crossover,4,2002,"86,930 SAR",2004,"51,544 SAR",74421,6.86,2WD,standard,Makkah,7,2,Silver,individual,0
Fourd,crossover,4,2003,"124,136 SAR",2006,"70,049 SAR",70371,7.71,2WD,premium,Madinah,5,2,Silver,individual,0
Shevy,sedan,4,2003,"88,668 SAR",2004,"60,648 SAR",11258,3.96,4WD,standard,Dammam,5,1,Gray,company,0
Toyoda,sedan,6,1997,"94,482 SAR",2000,"68,126 SAR",116142,12.82,4WD,premium,Dammam,3,2,Silver,individual,0
Masda,sedan,8,1996,"64,326 SAR",1998,"49,305 SAR",11308,7.98,2WD,premium,Jeddah,3,2,Gray,individual,0
Shevy,suv,4,1998,"120,465 SAR",2005,"48,923 SAR",324939,5.84,4WD,standard,Madinah,6,2,White,individual,0
JournalMotors,crossover,4,1994,"74,194 SAR",1996,"48,623 SAR",34918,5.66,2WD,standard,Madinah,5,2,Black,company,1
Shevy,suv,4,2004,"158,274 SAR",2011,"67,662 SAR",78375,4.19,2WD,premium,Riyadh,6,2,Silver,company,0
Fourd,sedan,6,2000,"69,628 SAR",2004,"36,880 SAR",32038,5.32,2WD,standard,Riyadh,8,2,Gray,individual,1
Honta,crossover,6,2006,"67,211 SAR",2008,"46,494 SAR",66299,11.89,2WD,standard,Dammam,3,4,White,individual,0
Honta,sedan,6,2007,"79,981 SAR",2011,"47,070 SAR",162071,13.25,2WD,premium,Dammam,2,1,Red,company,0
Huendae,suv,4,2003,"110,836 SAR",2007,"64,577 SAR",169585,15.62,2WD,premium,Jeddah,7,1,Silver,company,0
Toyoda,sedan,4,2003,"63,334 SAR",2005,"45,459 SAR",78317,14.24,2WD,standard,Dammam,5,3,White,individual,0
Shevy,crossover,6,2008,"97,897 SAR",2015,"41,850 SAR",131992,3.93,2WD,standard,Riyadh,8,2,White,company,0
Toyoda,sedan,8,2004,"108,530 SAR",2012,"35,383 SAR",177217,11.15,4WD,premium,Dammam,7,3,Black,individual,1
Masda,sedan,4,2008,"69,926 SAR",2015,"36,619 SAR",52180,14.93,4WD,standard,Madinah,1,4,White,individual,1
Toyoda,sedan,6,2006,"112,915 SAR",2013,"52,590 SAR",352487,9.54,4WD,premium,Madinah,6,1,Black,individual,0
Shevy,suv,8,2008,"122,372 SAR",2010,"80,197 SAR",19946,4.27,2WD,standard,Makkah,4,3,White,individual,1
Fourd,sedan,4,1999,"81,916 SAR",2004,"36,419 SAR",80804,4.97,4WD,standard,Dhahran,7,3,Silver,individual,0
Honta,sedan,4,2006,"94,096 SAR",2011,"48,319 SAR",180417,18.89,4WD,premium,Dammam,5,2,Black,individual,0
Fourd,crossover,4,2006,"94,096 SAR",2012,"40,125 SAR",46097,6.25,2WD,standard,Dhahran,7,4,Black,individual,1
Honta,sedan,4,1999,"48,759 SAR",2002,"35,310 SAR",120504,23.42,2WD,standard,Dammam,2,1,White,individual,0
Nesshan,crossover,6,1998,"57,364 SAR",2001,"37,387 SAR",63204,18.09,2WD,standard,Makkah,4,4,Black,individual,0
JournalMotors,suv,4,2006,"117,620 SAR",2010,"59,333 SAR",71171,3.79,2WD,standard,Riyadh,11,1,White,individual,0
Toyoda,suv,4,2004,"96,902 SAR",2004,"72,211 SAR",1181,14.29,2WD,standard,Dhahran,10,2,Black,individual,0
